License_Number,Route_Name,Latitude,Longitude,Timespan
NA-0001,200-Gampaha-Colombo,80.434917,6.855975,2025-10-31 09:00:00
NA-0001,200-Gampaha-Colombo,80.435695,6.855313,2025-10-31 09:00:10
NA-0001,200-Gampaha-Colombo,80.436609,6.855965,2025-10-31 09:00:20
NA-0001,200-Gampaha-Colombo,80.436905,6.855757,2025-10-31 09:00:30
NA-0001,200-Gampaha-Colombo,80.436834,6.855282,2025-10-31 09:00:40
NA-0001,200-Gampaha-Colombo,80.437606,6.854595,2025-10-31 09:00:50
NA-0001,200-Gampaha-Colombo,80.437238,6.853726,2025-10-31 09:01:00
NA-0001,200-Gampaha-Colombo,80.438049,6.852841,2025-10-31 09:01:10
NA-0001,200-Gampaha-Colombo,80.438714,6.852664,2025-10-31 09:01:20
NA-0001,200-Gampaha-Colombo,80.438947,6.853433,2025-10-31 09:01:30
NA-0001,200-Gampaha-Colombo,80.438917,6.852543,2025-10-31 09:01:40
NA-0001,200-Gampaha-Colombo,80.43843,6.852854,2025-10-31 09:01:50
NA-0001,200-Gampaha-Colombo,80.437537,6.852895,2025-10-31 09:02:00
NA-0001,200-Gampaha-Colombo,80.438003,6.852985,2025-10-31 09:02:10
NA-0001,200-Gampaha-Colombo,80.437731,6.852281,2025-10-31 09:02:20
NA-0001,200-Gampaha-Colombo,80.438366,6.851787,2025-10-31 09:02:30
NA-0001,200-Gampaha-Colombo,80.437768,6.851167,2025-10-31 09:02:40
NA-0001,200-Gampaha-Colombo,80.438422,6.852047,2025-10-31 09:02:50
NA-0001,200-Gampaha-Colombo,80.438199,6.851794,2025-10-31 09:03:00
NA-0001,200-Gampaha-Colombo,80.438704,6.852122,2025-10-31 09:03:10
NA-0001,200-Gampaha-Colombo,80.439203,6.851701,2025-10-31 09:03:20
NA-0001,200-Gampaha-Colombo,80.440056,6.851589,2025-10-31 09:03:30
NA-0001,200-Gampaha-Colombo,80.439704,6.852362,2025-10-31 09:03:40
NA-0001,200-Gampaha-Colombo,80.440429,6.851588,2025-10-31 09:03:50
NA-0001,200-Gampaha-Colombo,80.441268,6.852321,2025-10-31 09:04:00
NA-0001,200-Gampaha-Colombo,80.440649,6.851827,2025-10-31 09:04:10
NA-0001,200-Gampaha-Colombo,80.439681,6.851028,2025-10-31 09:04:20
NA-0001,200-Gampaha-Colombo,80.440043,6.850636,2025-10-31 09:04:30
NA-0001,200-Gampaha-Colombo,80.439274,6.850246,2025-10-31 09:04:40
NA-0001,200-Gampaha-Colombo,80.438672,6.850513,2025-10-31 09:04:50
NA-0001,200-Gampaha-Colombo,80.438797,6.851046,2025-10-31 09:05:00
NA-0001,200-Gampaha-Colombo,80.439369,6.851885,2025-10-31 09:05:10
NA-0001,200-Gampaha-Colombo,80.439869,6.852012,2025-10-31 09:05:20
NA-0001,200-Gampaha-Colombo,80.440232,6.851232,2025-10-31 09:05:30
NA-0001,200-Gampaha-Colombo,80.439509,6.85071,2025-10-31 09:05:40
NA-0001,200-Gampaha-Colombo,80.438826,6.850407,2025-10-31 09:05:50
NA-0001,200-Gampaha-Colombo,80.438859,6.850835,2025-10-31 09:06:00
NA-0001,200-Gampaha-Colombo,80.438581,6.850311,2025-10-31 09:06:10
NA-0001,200-Gampaha-Colombo,80.439567,6.850116,2025-10-31 09:06:20
NA-0001,200-Gampaha-Colombo,80.43898,6.849842,2025-10-31 09:06:30
NA-0001,200-Gampaha-Colombo,80.43892,6.849212,2025-10-31 09:06:40
NA-0001,200-Gampaha-Colombo,80.439712,6.849552,2025-10-31 09:06:50
NA-0001,200-Gampaha-Colombo,80.438867,6.849558,2025-10-31 09:07:00
NA-0001,200-Gampaha-Colombo,80.439177,6.849234,2025-10-31 09:07:10
NA-0001,200-Gampaha-Colombo,80.439668,6.850055,2025-10-31 09:07:20
NA-0001,200-Gampaha-Colombo,80.440404,6.850554,2025-10-31 09:07:30
NA-0001,200-Gampaha-Colombo,80.439699,6.850744,2025-10-31 09:07:40
NA-0001,200-Gampaha-Colombo,80.438705,6.850192,2025-10-31 09:07:50
NA-0001,200-Gampaha-Colombo,80.437754,6.8505,2025-10-31 09:08:00
NA-0001,200-Gampaha-Colombo,80.437486,6.850916,2025-10-31 09:08:10
NA-0001,200-Gampaha-Colombo,80.438466,6.850735,2025-10-31 09:08:20
NA-0001,200-Gampaha-Colombo,80.437723,6.850954,2025-10-31 09:08:30
NA-0001,200-Gampaha-Colombo,80.437281,6.850966,2025-10-31 09:08:40
NA-0001,200-Gampaha-Colombo,80.436786,6.851125,2025-10-31 09:08:50
NA-0001,200-Gampaha-Colombo,80.43632,6.851691,2025-10-31 09:09:00
NA-0001,200-Gampaha-Colombo,80.436048,6.85168,2025-10-31 09:09:10
NA-0001,200-Gampaha-Colombo,80.436414,6.851851,2025-10-31 09:09:20
NA-0001,200-Gampaha-Colombo,80.436099,6.851788,2025-10-31 09:09:30
NA-0001,200-Gampaha-Colombo,80.436617,6.85198,2025-10-31 09:09:40
NA-0001,200-Gampaha-Colombo,80.437035,6.852085,2025-10-31 09:09:50
NA-0001,200-Gampaha-Colombo,80.437429,6.852097,2025-10-31 09:10:00
NA-0001,200-Gampaha-Colombo,80.437543,6.851735,2025-10-31 09:10:10
NA-0001,200-Gampaha-Colombo,80.437031,6.851655,2025-10-31 09:10:20
NA-0001,200-Gampaha-Colombo,80.43764,6.851305,2025-10-31 09:10:30
NA-0001,200-Gampaha-Colombo,80.43801,6.851835,2025-10-31 09:10:40
NA-0001,200-Gampaha-Colombo,80.438576,6.851227,2025-10-31 09:10:50
NA-0001,200-Gampaha-Colombo,80.438615,6.85134,2025-10-31 09:11:00
NA-0001,200-Gampaha-Colombo,80.437797,6.851163,2025-10-31 09:11:10
NA-0001,200-Gampaha-Colombo,80.437504,6.850464,2025-10-31 09:11:20
NA-0001,200-Gampaha-Colombo,80.43702,6.850948,2025-10-31 09:11:30
NA-0001,200-Gampaha-Colombo,80.437831,6.850923,2025-10-31 09:11:40
NA-0001,200-Gampaha-Colombo,80.437079,6.851293,2025-10-31 09:11:50
NA-0001,200-Gampaha-Colombo,80.437791,6.851933,2025-10-31 09:12:00
NA-0001,200-Gampaha-Colombo,80.438214,6.852541,2025-10-31 09:12:10
NA-0001,200-Gampaha-Colombo,80.438974,6.852704,2025-10-31 09:12:20
NA-0001,200-Gampaha-Colombo,80.438129,6.853396,2025-10-31 09:12:30
NA-0001,200-Gampaha-Colombo,80.437526,6.852482,2025-10-31 09:12:40
NA-0001,200-Gampaha-Colombo,80.438446,6.85245,2025-10-31 09:12:50
NA-0001,200-Gampaha-Colombo,80.437475,6.853014,2025-10-31 09:13:00
NA-0001,200-Gampaha-Colombo,80.437747,6.853364,2025-10-31 09:13:10
NA-0001,200-Gampaha-Colombo,80.437173,6.853173,2025-10-31 09:13:20
NA-0001,200-Gampaha-Colombo,80.437116,6.853331,2025-10-31 09:13:30
NA-0001,200-Gampaha-Colombo,80.436417,6.85407,2025-10-31 09:13:40
NA-0001,200-Gampaha-Colombo,80.435575,6.854275,2025-10-31 09:13:50
NA-0001,200-Gampaha-Colombo,80.435268,6.853946,2025-10-31 09:14:00
NA-0001,200-Gampaha-Colombo,80.434864,6.854298,2025-10-31 09:14:10
NA-0001,200-Gampaha-Colombo,80.43429,6.853915,2025-10-31 09:14:20
NA-0001,200-Gampaha-Colombo,80.434463,6.853977,2025-10-31 09:14:30
NA-0001,200-Gampaha-Colombo,80.43477,6.853271,2025-10-31 09:14:40
NA-0001,200-Gampaha-Colombo,80.433789,6.853193,2025-10-31 09:14:50
NA-0001,200-Gampaha-Colombo,80.434624,6.852576,2025-10-31 09:15:00
NA-0001,200-Gampaha-Colombo,80.434295,6.853542,2025-10-31 09:15:10
NA-0001,200-Gampaha-Colombo,80.435135,6.853444,2025-10-31 09:15:20
NA-0001,200-Gampaha-Colombo,80.435873,6.854399,2025-10-31 09:15:30
NA-0001,200-Gampaha-Colombo,80.436775,6.853828,2025-10-31 09:15:40
NA-0001,200-Gampaha-Colombo,80.437717,6.854541,2025-10-31 09:15:50
NA-0001,200-Gampaha-Colombo,80.438537,6.855377,2025-10-31 09:16:00
NA-0001,200-Gampaha-Colombo,80.439007,6.856345,2025-10-31 09:16:10
NA-0001,200-Gampaha-Colombo,80.438634,6.856359,2025-10-31 09:16:20
NA-0001,200-Gampaha-Colombo,80.439146,6.856231,2025-10-31 09:16:30
NA-0001,200-Gampaha-Colombo,80.438464,6.856655,2025-10-31 09:16:40
NA-0001,200-Gampaha-Colombo,80.438189,6.856985,2025-10-31 09:16:50
NA-0001,200-Gampaha-Colombo,80.437732,6.856833,2025-10-31 09:17:00
NA-0001,200-Gampaha-Colombo,80.437703,6.857122,2025-10-31 09:17:10
NA-0001,200-Gampaha-Colombo,80.438554,6.856566,2025-10-31 09:17:20
NA-0001,200-Gampaha-Colombo,80.438883,6.856741,2025-10-31 09:17:30
NA-0001,200-Gampaha-Colombo,80.438514,6.85641,2025-10-31 09:17:40
NA-0001,200-Gampaha-Colombo,80.438254,6.857193,2025-10-31 09:17:50
NA-0001,200-Gampaha-Colombo,80.437882,6.857107,2025-10-31 09:18:00
NA-0001,200-Gampaha-Colombo,80.438646,6.856614,2025-10-31 09:18:10
NA-0001,200-Gampaha-Colombo,80.438817,6.85677,2025-10-31 09:18:20
NA-0001,200-Gampaha-Colombo,80.439583,6.855829,2025-10-31 09:18:30
NA-0001,200-Gampaha-Colombo,80.439615,6.856159,2025-10-31 09:18:40
NA-0001,200-Gampaha-Colombo,80.438777,6.857052,2025-10-31 09:18:50
NA-0001,200-Gampaha-Colombo,80.439478,6.856609,2025-10-31 09:19:00
NA-0001,200-Gampaha-Colombo,80.440036,6.857199,2025-10-31 09:19:10
NA-0001,200-Gampaha-Colombo,80.439927,6.857009,2025-10-31 09:19:20
NA-0001,200-Gampaha-Colombo,80.439891,6.856799,2025-10-31 09:19:30
NA-0001,200-Gampaha-Colombo,80.440692,6.857243,2025-10-31 09:19:40
NA-0001,200-Gampaha-Colombo,80.440802,6.858143,2025-10-31 09:19:50
NA-0001,200-Gampaha-Colombo,80.44053,6.857884,2025-10-31 09:20:00
NA-0001,200-Gampaha-Colombo,80.440078,6.857612,2025-10-31 09:20:10
NA-0001,200-Gampaha-Colombo,80.439815,6.858084,2025-10-31 09:20:20
NA-0001,200-Gampaha-Colombo,80.44025,6.857174,2025-10-31 09:20:30
NA-0001,200-Gampaha-Colombo,80.439848,6.857929,2025-10-31 09:20:40
NA-0001,200-Gampaha-Colombo,80.439621,6.858074,2025-10-31 09:20:50
NA-0001,200-Gampaha-Colombo,80.438754,6.858864,2025-10-31 09:21:00
NA-0001,200-Gampaha-Colombo,80.438202,6.859481,2025-10-31 09:21:10
NA-0001,200-Gampaha-Colombo,80.438928,6.858702,2025-10-31 09:21:20
NA-0001,200-Gampaha-Colombo,80.438988,6.857738,2025-10-31 09:21:30
NA-0001,200-Gampaha-Colombo,80.439373,6.858729,2025-10-31 09:21:40
NA-0001,200-Gampaha-Colombo,80.439713,6.858522,2025-10-31 09:21:50
NA-0001,200-Gampaha-Colombo,80.440498,6.859208,2025-10-31 09:22:00
NA-0001,200-Gampaha-Colombo,80.439988,6.859194,2025-10-31 09:22:10
NA-0001,200-Gampaha-Colombo,80.440738,6.858395,2025-10-31 09:22:20
NA-0001,200-Gampaha-Colombo,80.441699,6.858077,2025-10-31 09:22:30
NA-0001,200-Gampaha-Colombo,80.442145,6.857465,2025-10-31 09:22:40
NA-0001,200-Gampaha-Colombo,80.442303,6.857985,2025-10-31 09:22:50
NA-0001,200-Gampaha-Colombo,80.441889,6.858498,2025-10-31 09:23:00
NA-0001,200-Gampaha-Colombo,80.441529,6.859343,2025-10-31 09:23:10
NA-0001,200-Gampaha-Colombo,80.441279,6.859458,2025-10-31 09:23:20
NA-0001,200-Gampaha-Colombo,80.441809,6.860364,2025-10-31 09:23:30
NA-0001,200-Gampaha-Colombo,80.442085,6.859838,2025-10-31 09:23:40
NA-0001,200-Gampaha-Colombo,80.441685,6.859125,2025-10-31 09:23:50
NA-0001,200-Gampaha-Colombo,80.441821,6.859393,2025-10-31 09:24:00
NA-0001,200-Gampaha-Colombo,80.442133,6.8589,2025-10-31 09:24:10
NA-0001,200-Gampaha-Colombo,80.441384,6.857934,2025-10-31 09:24:20
NA-0001,200-Gampaha-Colombo,80.440414,6.857437,2025-10-31 09:24:30
NA-0001,200-Gampaha-Colombo,80.441048,6.857545,2025-10-31 09:24:40
NA-0001,200-Gampaha-Colombo,80.44176,6.856704,2025-10-31 09:24:50
NA-0001,200-Gampaha-Colombo,80.442294,6.857353,2025-10-31 09:25:00
NA-0001,200-Gampaha-Colombo,80.442946,6.857124,2025-10-31 09:25:10
